Origin,country,lat,lon,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,pde_total_deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,url
5/11/1900 17:23,Japan,38.7,141.1,5,7.0ÿMJ,,,,,,,
7/12/1900 6:25,Turkey,40.3,43.1,,5.9 UK,,,140,140,,,
10/29/1900 9:11,Venezuela,11,-66,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,,,,,
2/15/1901 0:00,China,26,100.1,0,6.5ÿ{\displaystyle M_{s}},,,,,,,
3/31/1901 7:11,Bulgaria,43.4,28.7,,6.4 UK,,,4,4,,,
8/9/1901 9:23,Japan,40.5,142.5,35,7.2ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
11/15/1901 20:15,New Zealand (seeÿ1901 Cheviot earthquake),-43,173,0,6.8ÿ{\displaystyle M_{s}},,,1,1,,,
1/30/1902 14:01,Japan,40.5,141.3,35,6.9ÿ{\displaystyle M_{s}},,,1,1,,,
2/13/1902 9:39,Azerbaijan,40.7,48.6,15,6.9 UK,,,86,86,,,
3/9/1902 7:46,Turkey,40.7,33.6,,5.5 UK,,,4,4,,,
4/19/1902 2:23,Guatemala (seeÿ1902 Guatemala earthquake),14,-91,0,7.5ÿ{\displaystyle M_{\mathrm {w} }},,,2000,2000,2000,,
7/3/1902 15:36,China,43.2,129.6,20,6.7ÿ{\displaystyle M_{s}},,,,,,,
8/22/1902 3:00,China,40,77,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,5650,5650,,,
9/19/1902,Australia,-35,138,2,6.0ÿ{\displaystyle M_{\text{L}}},,,2,2,,,
12/16/1902 5:07,Uzbekistan,40.8,72.3,9,6.4 UK,,,4725,4725,,,
3/29/1903 22:30,Judea and Samaria,32.2,35.3,,5.7 UK,,,20,20,,,
4/28/1903,Turkey (seeÿ1903 Manzikert earthquake),39.14,42.65,,7.0ÿ{\displaystyle M_{s}},,,3500,,,3500,
5/28/1903 3:58,Turkey,40.9,42.7,,5.8 UK,,,1000,1000,,,
8/11/1903 4:32,Greece,36.36,22.97,80,8.3 UK,,,2,2,,,
9/25/1903 1:20,Iran,35.2,58.2,,6.5 UK,,,200,200,,,
4/24/1904 6:39,Taiwan,23.5,120.5,,6.0 UK,,,3,3,,,
8/11/1904 5:56,Greece,37.75,27,10,6.2 UK,,,4,4,,,
8/30/1904 11:42,China,30,101,0,6.8ÿ{\displaystyle M_{s}},,,565,565,,,
11/5/1904 20:25,Taiwan (seeÿ1904 Douliu earthquake),23.5,120.3,,6.3 UK,,,145,145,,,
4/4/1905 0:50,India,33,76,0,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,20000,20000,20000,,
6/1/1905 4:42,Albania,42.1,19.6,20,6.6 UK,,,120,120,,,
6/2/1905 5:39,Japan,34.1,132.5,55,7.0ÿ{\displaystyle m_{b}},,,11,11,,,
9/8/1905 1:43,Italy (seeÿ1905 Calabria earthquake),39,16,0,6.8ÿ{\displaystyle M_{s}},T,,557,557,2500,,
11/8/1905 22:06,Greece,40,24,0,6.8ÿ{\displaystyle M_{s}},,,,,,,
1/31/1906 15:36,Ecuador (seeÿ1906 Ecuador?Colombia earthquake),1,-81.5,0,8.8 UK,T,,1000,1000,400,,
3/16/1906 22:42,Taiwan (seeÿ1906 Meishan earthquake),23.6,120.4,5,6.8ÿ{\displaystyle M_{s}},,,1258,1258,,,
4/13/1906 19:18,Taiwan,23.6,120.4,5,7.1ÿMJ,,,15,15,,,
4/18/1906 13:12,United States (seeÿ1906 San Francisco earthquake),38,-123,0,7.8 UK,F,,700,700,2000,,https://en.wikipedia.org/wiki/1906_San_Francisco_earthquake
8/17/1906 0:40,Chile (seeÿ1906 Valpara¡so earthquake),-33,-72,0,8.2 UK,T,,3760,3760,20000,,
12/22/1906 18:21,China,43.5,85,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,285,285,,,
1/4/1907 5:19,Indonesia,2,94.5,50,7.5ÿ{\displaystyle M_{\mathrm {w} }},T,,400,400,,,
1/14/1907 21:36,Jamaica (seeÿ1907 Kingston earthquake),18.2,-76.7,,6.5 UK,T,,1000,1000,,,
4/15/1907 6:08,Mexico,17,-100,0,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,28,28,,,
4/18/1907 20:59,Philippines,14,123,0,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,2,2,,,
10/21/1907 4:23,Tajikistan (seeÿ1907 Qaratog earthquake),38,69,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,15000,15000,12000,,
1/11/1908 3:35,Taiwan,23,121.1,5,6.8ÿ{\displaystyle M_{s}},,,2,2,,,
12/28/1908 4:20,Italy (seeÿ1908 Messina earthquake),38,15.5,0,7.2ÿ{\displaystyle M_{s}},T,,82000,82000,75000,,https://en.wikipedia.org/wiki/1908_Messina_earthquake
1/19/1909 4:56,Turkey,38.6,26.9,,5.8 UK,,,8,8,,,
1/23/1909,Iran (seeÿ1909 Borujerd earthquake),33,50,,7.3 UK,,,8000,,,8000+,
2/9/1909 11:24,Turkey,40,38,60,6.8 UK,,,,,,,
4/14/1909 19:53,Taiwan,25,122.5,5,7.1ÿ{\displaystyle m_{b}},,,9,9,,,
4/23/1909 17:39,Portugal,38.9,-8.8,,6.6 UK,,,30,30,,,
5/11/1909 15:54,China,24.4,103,,6.5 UK,,,19,19,,,
6/3/1909 18:40,Indonesia,-2,101,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},T,,200,200,,,
6/11/1909,France (seeÿ1909 Provence earthquake),43.7,5.4,,6.2ÿ{\displaystyle M_{s}},,,,,,46,
8/14/1909 6:31,Japan,35.4,136.3,5,6.7ÿ{\displaystyle M_{s}},,,41,41,,,
10/20/1909 23:41,Pakistan,30,68,0,7.0ÿ{\displaystyle M_{s}},,,231,231,,,
11/10/1909 6:13,Japan,32.3,131.1,150,7.5ÿ{\displaystyle m_{b}},,,2,2,,,
1/8/1910 14:49,China,35,122,0,6.8 UK,,,1,1,,,
2/18/1910 5:09,Greece,36,24.5,150,6.9ÿ{\displaystyle m_{b}},,,6,6,,,
4/12/1910 0:22,Japan,25,123,200,7.6ÿ{\displaystyle m_{b}},,,20,20,,,
6/24/1910 13:27,Algeria,36.1,3.4,33,6.4 UK,,,81,81,,,
1/3/1911 23:25,Kazakhstan (seeÿ1911 Kebin earthquake),43.5,77.5,0,7.8ÿ{\displaystyle M_{\mathrm {w} }},,,450,450,,,
2/18/1911 18:41,Kyrgyzstan,40,73,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},L,,90,90,,,
4/18/1911 18:14,Iran,32,56,50,6.7 UK,,,700,700,,,
6/7/1911 11:02,Mexico,17.5,-102.5,0,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,1300,1300,,,
6/15/1911 14:26,Japan,28,130,90,8.1ÿ{\displaystyle m_{b}},T,,12,12,,,
1/24/1912 16:23,Greece,38,20.5,60,6.8 UK,,,,,,,
5/6/1912 19:00,Iceland,64,-20,0,7.0ÿ{\displaystyle M_{s}},,,1,1,,,
5/23/1912 2:24,Burma,21,97,0,7.7ÿ{\displaystyle M_{\mathrm {w} }},,,,,,,
8/9/1912 1:29,Turkey (seeÿ1912 Mrefte earthquake),40.5,27,0,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,2836,2836,923,,
11/19/1912 13:55,Mexico,19.83,-99.92,15,6.7ÿ{\displaystyle M_{s}},,,,,,164[6],
3/14/1913 8:45,Indonesia,4.5,126.5,0,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
6/14/1913 9:33,Bulgaria,43.5,25.5,0,6.8 UK,,,500,500,,,
8/6/1913 22:14,Peru,-17,-74,0,7.8ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
11/4/1913 21:33,Peru,-14.2,-72.9,10,6.3 UK,,,150,150,,,
12/21/1913 15:37,China,24.5,102,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,1314,1314,,,
1/12/1914 9:28,Japan,31.6,130.6,5,6.7ÿ{\displaystyle M_{s}},T,,35,35,,,
3/14/1914 20:00,Japan,39.5,140.4,5,7.0ÿ{\displaystyle M_{s}},,,94,94,,,
5/8/1914 18:01,Italy,37.7,15.2,,4.9 UK,,,69,69,,,
5/26/1914 14:22,Indonesia,-2,137,0,7.9ÿ{\displaystyle M_{\mathrm {w} }},T,,,,,,
6/25/1914 19:07,Indonesia,-4.5,102.5,0,7.6ÿ{\displaystyle M_{\mathrm {w} }},,,,,20,,
8/4/1914 22:41,China,43.5,91.5,0,7.2ÿ{\displaystyle M_{\mathrm {w} }},,,,,,,
10/3/1914 22:06,Turkey (seeÿ1914 Burdur earthquake),37.5,32.5,0,7.1ÿ{\displaystyle M_{\mathrm {w} }},,,4000,4000,,,
1/13/1915 6:52,Italy (seeÿ1915 Avezzano earthquake),42,13.5,0,6.9ÿ{\displaystyle M_{s}},,,32610,32610,29980,,
